Variable Values,,,,
Value,,Label,,
confid_zelenskyy,1,A lot of confidence,,
,2,Some confidence,,
,3,Not too much confidence,,
,4,No confidence at all,,
,5,Never heard of this person [Include in Australia and the U.S. only],,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
confid_zelenskyy_dk,1,A lot of confidence,,
,2,Some confidence,,
,3,Not too much confidence,,
,4,No confidence at all,,
,5,Never heard of this person,,
,9,Don't know/Refused,,
trump_personality_qualified,1,Yes,,
,2,No,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
trump_personality_strong,1,Yes,,
,2,No,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
trump_personality_honest,1,Yes,,
,2,No,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
trump_personality_dangerous,1,Yes,,
,2,No,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
trump_personality_complex,1,Yes,,
,2,No,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
trump_personality_diplomatic,1,Yes,,
,2,No,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
trump_personality_arrogant,1,Yes,,
,2,No,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
trump_handling_econ,1,A lot of confidence,,
,2,Some confidence,,
,3,Not too much confidence,,
,4,No confidence at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
trump_handling_climate,1,A lot of confidence,,
,2,Some confidence,,
,3,Not too much confidence,,
,4,No confidence at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
trump_handling_china,1,A lot of confidence,,
,2,Some confidence,,
,3,Not too much confidence,,
,4,No confidence at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
trump_handling_rusukr,1,A lot of confidence,,
,2,Some confidence,,
,3,Not too much confidence,,
,4,No confidence at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
trump_handling_isrneigh,1,A lot of confidence,,
,2,Some confidence,,
,3,Not too much confidence,,
,4,No confidence at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
trump_handling_immigration,1,A lot of confidence,,
,2,Some confidence,,
,3,Not too much confidence,,
,4,No confidence at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
usdem_works,1,Very well,,
,2,Somewhat well,,
,3,Somewhat poorly,,
,4,Very poorly,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
conflict_usparties,1,Very strong conflicts,,
,2,Strong conflicts,,
,3,Not very strong conflicts,,
,4,There are no conflicts at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
econ_power,1,The United States,,
,2,China,,
,3,Japan,,
,4,The countries of the European Union,,
,5,Other (DO NOT READ),,
,6,None / There is no leading economic power (DO NOT READ),,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
us_or_china,1,China,,
,2,The United States,,
,3,Economic ties to both countries are equally important (DO NOT READ),,
,4,Neither (DO NOT READ),,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
moral_state,1,Very good,,
,2,Somewhat good,,
,3,Somewhat bad,,
,4,Very bad,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
moral_affair,1,Morally acceptable,,
,2,Morally unacceptable,,
,3,Not a moral issue,,
,4,Depends on situation (DO NOT READ),,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
moral_homosexuality,1,Morally acceptable,,
,2,Morally unacceptable,,
,3,Not a moral issue,,
,4,Depends on situation (DO NOT READ),,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
moral_abortion,1,Morally acceptable,,
,2,Morally unacceptable,,
,3,Not a moral issue,,
,4,Depends on situation (DO NOT READ),,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
moral_gambling,1,Morally acceptable,,
,2,Morally unacceptable,,
,3,Not a moral issue,,
,4,Depends on situation (DO NOT READ),,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
moral_contraceptives,1,Morally acceptable,,
,2,Morally unacceptable,,
,3,Not a moral issue,,
,4,Depends on situation (DO NOT READ),,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
moral_pornography,1,Morally acceptable,,
,2,Morally unacceptable,,
,3,Not a moral issue,,
,4,Depends on situation (DO NOT READ),,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
moral_marijuana,1,Morally acceptable,,
,2,Morally unacceptable,,
,3,Not a moral issue,,
,4,Depends on situation (DO NOT READ),,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
moral_alcohol,1,Morally acceptable,,
,2,Morally unacceptable,,
,3,Not a moral issue,,
,4,Depends on situation (DO NOT READ),,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
moral_divorce,1,Morally acceptable,,
,2,Morally unacceptable,,
,3,Not a moral issue,,
,4,Depends on situation (DO NOT READ),,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
believe_god,1,It is NOT necessary to believe in God in order to be moral and have good values,,
,2,It is necessary to believe in God in order to be moral and have good values,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
citizen_religion,1,Very important,,
,2,Somewhat important,,
,3,Not too important,,
,4,Not at all important,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
citizen_vote,1,Very important,,
,2,Somewhat important,,
,3,Not too important,,
,4,Not at all important,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
citizen_follow,1,Very important,,
,2,Somewhat important,,
,3,Not too important,,
,4,Not at all important,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
citizen_environment,1,Very important,,
,2,Somewhat important,,
,3,Not too important,,
,4,Not at all important,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
citizen_protest,1,Very important,,
,2,Somewhat important,,
,3,Not too important,,
,4,Not at all important,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
citizen5_religion,1,Extremely important,,
,2,Very important,,
,3,Somewhat important,,
,4,Not too important,,
,5,Not at all important,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
citizen5_vote,1,Extremely important,,
,2,Very important,,
,3,Somewhat important,,
,4,Not too important,,
,5,Not at all important,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
citizen5_follow,1,Extremely important,,
,2,Very important,,
,3,Somewhat important,,
,4,Not too important,,
,5,Not at all important,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
citizen5_environment,1,Extremely important,,
,2,Very important,,
,3,Somewhat important,,
,4,Not too important,,
,5,Not at all important,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
citizen5_protest,1,Extremely important,,
,2,Very important,,
,3,Somewhat important,,
,4,Not too important,,
,5,Not at all important,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
polsys_country,1,It needs to be completely reformed,,
,2,It needs major changes,,
,3,It needs minor changes,,
,4,It doesn’t need to be changed,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
polsys_countryfu,1,Very confident,,
,2,Somewhat confident,,
,3,Not too confident,,
,4,Not at all confident,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
elections_four,1,Very confident,,
,2,Somewhat confident,,
,3,Not too confident,,
,4,Not at all confident,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
elections_five,1,Extremely confident,,
,2,Very confident,,
,3,Somewhat confident,,
,4,Not too confident,,
,5,Not at all confident,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
officials_trait_understand,1,All of them,,
,2,Most of them,,
,3,Some of them,,
,4,Few of them,,
,5,None of them,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
officials_trait_focus,1,All of them,,
,2,Most of them,,
,3,Some of them,,
,4,Few of them,,
,5,None of them,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
officials_trait_qualified,1,All of them,,
,2,Most of them,,
,3,Some of them,,
,4,Few of them,,
,5,None of them,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
officials_trait_ethical,1,All of them,,
,2,Most of them,,
,3,Some of them,,
,4,Few of them,,
,5,None of them,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
officials_trait_honest,1,All of them,,
,2,Most of them,,
,3,Some of them,,
,4,Few of them,,
,5,None of them,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
intthreat_climatechange,1,Major threat,,
,2,Minor threat,,
,3,Not a threat,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
intthreat_econcondition,1,Major threat,,
,2,Minor threat,,
,3,Not a threat,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
intthreat_disease,1,Major threat,,
,2,Minor threat,,
,3,Not a threat,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
intthreat_misinfo,1,Major threat,,
,2,Minor threat,,
,3,Not a threat,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
intthreat_terrorism,1,Major threat,,
,2,Minor threat,,
,3,Not a threat,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
allies_open,1,Afghanistan,,
,2,Albania,,
,3,Algeria,,
,4,American Samoa,,
,5,Andorra,,
,6,Angola,,
,7,Antigua and Barbuda,,
,8,Argentina,,
,9,Armenia,,
,10,Aruba,,
,11,Australia,,
,12,Austria,,
,13,Azerbaijan,,
,14,"Bahamas, The",,
,15,Bahrain,,
,16,Bangladesh,,
,17,Barbados,,
,18,Belarus,,
,19,Belgium,,
,20,Belize,,
,21,Benin,,
,22,Bermuda,,
,23,Bhutan,,
,24,BLANK,,
,25,Bolivia,,
,26,Bosnia and Herzegovina,,
,27,Botswana,,
,28,Brazil,,
,29,British Virgin Islands,,
,30,Brunei Darussalam,,
,31,Bulgaria,,
,32,Burkina Faso,,
,33,Burundi,,
,34,Cabo Verde,,
,35,Cambodia,,
,36,Cameroon,,
,37,Canada,,
,38,Cayman Islands,,
,39,Central African Republic,,
,40,Chad,,
,41,Channel Islands,,
,42,Chile,,
,43,China,,
,44,Colombia,,
,45,Comoros,,
,46,Costa Rica,,
,47,Croatia,,
,48,Cuba,,
,49,Curacao,,
,50,Cyprus,,
,51,Czech Republic,,
,52,Democratic Republic of the Congo,,
,53,Denmark,,
,54,Djibouti,,
,55,Dominica,,
,56,Dominican Republic,,
,57,Ecuador,,
,58,Egypt,,
,59,El Salvador,,
,60,Equatorial Guinea,,
,61,Eritrea,,
,62,Estonia,,
,63,Eswatini,,
,64,Ethiopia,,
,65,European Union [EU],,
,66,Faroe Islands,,
,67,Fiji,,
,68,Finland,,
,69,France,,
,70,French Polynesia,,
,71,Gabon,,
,72,"Gambia, The",,
,73,Georgia,,
,74,Germany,,
,75,Ghana,,
,76,Gibraltar,,
,77,Greece,,
,78,Greenland,,
,79,Grenada,,
,80,Guam,,
,81,Guatemala,,
,82,Guinea,,
,83,Guinea-Bissau,,
,84,Guyana,,
,85,Haiti,,
,86,Honduras,,
,87,Hong Kong,,
,88,Hungary,,
,89,Iceland,,
,90,India,,
,91,Indonesia,,
,92,Iran,,
,93,Iraq,,
,94,Ireland,,
,95,Isle of Man,,
,96,Israel,,
,97,Italy,,
,98,Ivory Coast,,
,99,Jamaica,,
,100,Japan,,
,101,Jordan,,
,102,Kazakhstan,,
,103,Kenya,,
,104,Kiribati,,
,105,Kosovo,,
,106,Kuwait,,
,107,Kyrgyzstan,,
,108,Lao PDR,,
,109,Latvia,,
,110,Lebanon,,
,111,Lesotho,,
,112,Liberia,,
,113,Libya,,
,114,Liechtenstein,,
,115,Lithuania,,
,116,Luxembourg,,
,117,Macao,,
,118,Madagascar,,
,119,Malawi,,
,120,Malaysia,,
,121,Maldives,,
,122,Mali,,
,123,Malta,,
,124,Marshall Islands,,
,125,Mauritania,,
,126,Mauritius,,
,127,Mexico,,
,128,"Micronesia, Fed. Sts.",,
,129,Moldova,,
,130,Monaco,,
,131,Mongolia,,
,132,Montenegro,,
,133,Morocco,,
,134,Mozambique,,
,135,Myanmar,,
,136,Namibia,,
,137,NATO,,
,138,Nauru,,
,139,Nepal,,
,140,Netherlands,,
,141,New Caledonia,,
,142,New Zealand,,
,143,Nicaragua,,
,144,Niger,,
,145,Nigeria,,
,146,North Korea,,
,147,North Macedonia,,
,148,Northern Mariana Islands,,
,149,Norway,,
,150,Oman,,
,151,Pakistan,,
,152,Palau,,
,153,Palestinian Territories,,
,154,Panama,,
,155,Papua New Guinea,,
,156,Paraguay,,
,157,Peru,,
,158,Philippines,,
,159,Poland,,
,160,Portugal,,
,161,Puerto Rico,,
,162,Qatar,,
,163,Republic of the Congo,,
,164,Romania,,
,165,Russia,,
,166,Rwanda,,
,167,Samoa,,
,168,San Marino,,
,169,Sao Tome and Principe,,
,170,Saudi Arabia,,
,171,Senegal,,
,172,Serbia,,
,173,Seychelles,,
,174,Sierra Leone,,
,175,Singapore,,
,176,Sint Maarten (Dutch part),,
,177,Slovakia,,
,178,Slovenia,,
,179,Solomon Islands,,
,180,Somalia,,
,181,South Africa,,
,182,South Korea,,
,183,South Sudan,,
,184,Spain,,
,185,Sri Lanka,,
,186,St. Kitts and Nevis,,
,187,St. Lucia,,
,188,St. Martin (French part),,
,189,St. Vincent and the Grenadines,,
,190,Sudan,,
,191,Suriname,,
,192,Sweden,,
,193,Switzerland,,
,194,Syria,,
,195,Taiwan,,
,196,Tajikistan,,
,197,Tanzania,,
,198,Thailand,,
,199,Timor-Leste,,
,200,Togo,,
,201,Tonga,,
,202,Trinidad and Tobago,,
,203,Tunisia,,
,204,Turkey,,
,205,Turkmenistan,,
,206,Turks and Caicos Islands,,
,207,Tuvalu,,
,208,U.S.,,
,209,Uganda,,
,210,UK,,
,211,Ukraine,,
,212,United Arab Emirates,,
,213,Uruguay,,
,214,Uzbekistan,,
,215,Vanuatu,,
,216,Venezuela,,
,217,Vietnam,,
,218,Virgin Islands (U.S.),,
,219,"Yemen, Rep.",,
,220,Zambia,,
,221,Zimbabwe,,
,996,No country,,
,997,Other,,
,999,Don't know/Refused,,
threats_open,1,Afghanistan,,
,2,Albania,,
,3,Algeria,,
,4,American Samoa,,
,5,Andorra,,
,6,Angola,,
,7,Antigua and Barbuda,,
,8,Argentina,,
,9,Armenia,,
,10,Aruba,,
,11,Australia,,
,12,Austria,,
,13,Azerbaijan,,
,14,"Bahamas, The",,
,15,Bahrain,,
,16,Bangladesh,,
,17,Barbados,,
,18,Belarus,,
,19,Belgium,,
,20,Belize,,
,21,Benin,,
,22,Bermuda,,
,23,Bhutan,,
,24,Bolivia,,
,25,Bosnia and Herzegovina,,
,26,Botswana,,
,27,Brazil,,
,28,British Virgin Islands,,
,29,Brunei Darussalam,,
,30,Bulgaria,,
,31,Burkina Faso,,
,32,Burundi,,
,33,Cabo Verde,,
,34,Cambodia,,
,35,Cameroon,,
,36,Canada,,
,37,Cayman Islands,,
,38,Central African Republic,,
,39,Chad,,
,40,Channel Islands,,
,41,Chile,,
,42,China,,
,43,Colombia,,
,44,Comoros,,
,45,Costa Rica,,
,46,Croatia,,
,47,Cuba,,
,48,Curacao,,
,49,Cyprus,,
,50,Czech Republic,,
,51,Democratic Republic of the Congo,,
,52,Denmark,,
,53,Djibouti,,
,54,Dominica,,
,55,Dominican Republic,,
,56,Ecuador,,
,57,Egypt,,
,58,El Salvador,,
,59,Equatorial Guinea,,
,60,Eritrea,,
,61,Estonia,,
,62,Eswatini,,
,63,Ethiopia,,
,64,European Union [EU],,
,65,Faroe Islands,,
,66,Fiji,,
,67,Finland,,
,68,France,,
,69,French Polynesia,,
,70,Gabon,,
,71,"Gambia, The",,
,72,Georgia,,
,73,Germany,,
,74,Ghana,,
,75,Gibraltar,,
,76,Greece,,
,77,Greenland,,
,78,Grenada,,
,79,Guam,,
,80,Guatemala,,
,81,Guinea,,
,82,Guinea-Bissau,,
,83,Guyana,,
,84,Haiti,,
,85,Hamas,,
,86,Hezbollah,,
,87,Honduras,,
,88,Hong Kong,,
,89,Hungary,,
,90,Iceland,,
,91,India,,
,92,Indonesia,,
,93,Iran,,
,94,Iraq,,
,95,Ireland,,
,96,Isle of Man,,
,97,Israel,,
,98,Italy,,
,99,Ivory Coast,,
,100,Jamaica,,
,101,Japan,,
,102,Jordan,,
,103,Kazakhstan,,
,104,Kenya,,
,105,Kiribati,,
,106,Kosovo,,
,107,Kuwait,,
,108,Kyrgyzstan,,
,109,Lao PDR,,
,110,Latvia,,
,111,Lebanon,,
,112,Lesotho,,
,113,Liberia,,
,114,Libya,,
,115,Liechtenstein,,
,116,Lithuania,,
,117,Luxembourg,,
,118,Macao,,
,119,Madagascar,,
,120,Malawi,,
,121,Malaysia,,
,122,Maldives,,
,123,Mali,,
,124,Malta,,
,125,Marshall Islands,,
,126,Mauritania,,
,127,Mauritius,,
,128,Mexico,,
,129,"Micronesia, Fed. Sts.",,
,130,Moldova,,
,131,Monaco,,
,132,Mongolia,,
,133,Montenegro,,
,134,Morocco,,
,135,Mozambique,,
,136,Myanmar,,
,137,Namibia,,
,138,NATO,,
,139,Nauru,,
,140,Nepal,,
,141,Netherlands,,
,142,New Caledonia,,
,143,New Zealand,,
,144,Nicaragua,,
,145,Niger,,
,146,Nigeria,,
,147,North Korea,,
,148,North Macedonia,,
,149,Northern Mariana Islands,,
,150,Norway,,
,151,Oman,,
,152,Pakistan,,
,153,Palau,,
,154,Palestinian Territories,,
,155,Panama,,
,156,Papua New Guinea,,
,157,Paraguay,,
,158,Peru,,
,159,Philippines,,
,160,Poland,,
,161,Portugal,,
,162,Puerto Rico,,
,163,Qatar,,
,164,Republic of the Congo,,
,165,Romania,,
,166,Russia,,
,167,Rwanda,,
,168,Samoa,,
,169,San Marino,,
,170,Sao Tome and Principe,,
,171,Saudi Arabia,,
,172,Senegal,,
,173,Serbia,,
,174,Seychelles,,
,175,Sierra Leone,,
,176,Singapore,,
,177,Sint Maarten (Dutch part),,
,178,Slovakia,,
,179,Slovenia,,
,180,Solomon Islands,,
,181,Somalia,,
,182,South Africa,,
,183,South Korea,,
,184,South Sudan,,
,185,Spain,,
,186,Sri Lanka,,
,187,St. Kitts and Nevis,,
,188,St. Lucia,,
,189,St. Martin (French part),,
,190,St. Vincent and the Grenadines,,
,191,Sudan,,
,192,Suriname,,
,193,Sweden,,
,194,Switzerland,,
,195,Syria,,
,196,Taiwan,,
,197,Tajikistan,,
,198,Tanzania,,
,199,Thailand,,
,200,Timor-Leste,,
,201,Togo,,
,202,Tonga,,
,203,Trinidad and Tobago,,
,204,Tunisia,,
,205,Turkey,,
,206,Turkmenistan,,
,207,Turks and Caicos Islands,,
,208,Tuvalu,,
,209,U.S.,,
,210,Uganda,,
,211,UK,,
,212,Ukraine,,
,213,United Arab Emirates,,
,214,Uruguay,,
,215,Uzbekistan,,
,216,Vanuatu,,
,217,Venezuela,,
,218,Vietnam,,
,219,Virgin Islands (U.S.),,
,220,"Yemen, Rep.",,
,221,Zambia,,
,222,Zimbabwe,,
,996,No country,,
,997,Other,,
,999,Don't know/Refused,,
threat_type_econ,1,A great deal,,
,2,A fair amount,,
,3,Not too much,,
,4,Not at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
threat_type_security,1,A great deal,,
,2,A fair amount,,
,3,Not too much,,
,4,Not at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
ai_heard,1,A lot,,
,2,A little,,
,3,Nothing at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
ai_cncexc,1,More excited than concerned,,
,2,More concerned than excited,,
,3,Equally concerned and excited,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
aireg_us,1,A lot of trust,,
,2,Some trust,,
,3,Not too much trust,,
,4,No trust at all,,
,8,Not sure,,
,9,Refused (DO NOT READ),,
aireg_china,1,A lot of trust,,
,2,Some trust,,
,3,Not too much trust,,
,4,No trust at all,,
,8,Not sure,,
,9,Refused (DO NOT READ),,
aireg_eu,1,A lot of trust,,
,2,Some trust,,
,3,Not too much trust,,
,4,No trust at all,,
,8,Not sure,,
,9,Refused (DO NOT READ),,
aireg_country,1,A lot of trust,,
,2,Some trust,,
,3,Not too much trust,,
,4,No trust at all,,
,8,Not sure,,
,9,Refused (DO NOT READ),,
china_rights,1,Very serious problem,,
,2,Somewhat serious problem,,
,3,Not too serious of a problem,,
,4,Not a problem at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
china_econcomp,1,Very serious problem,,
,2,Somewhat serious problem,,
,3,Not too serious of a problem,,
,4,Not a problem at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
china_milpower,1,Very serious problem,,
,2,Somewhat serious problem,,
,3,Not too serious of a problem,,
,4,Not a problem at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
china_politics,1,Very serious problem,,
,2,Somewhat serious problem,,
,3,Not too serious of a problem,,
,4,Not a problem at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
china_debt,1,Very serious problem,,
,2,Somewhat serious problem,,
,3,Not too serious of a problem,,
,4,Not a problem at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
china_territory,1,Very serious problem,,
,2,Somewhat serious problem,,
,3,Not too serious a problem,,
,4,Not a problem at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
china_invest,1,Investment from China is a good thing because it creates jobs in (survey country),,
,2,Investment from China is a bad thing because it gives China too much influence over domestic affairs in (survey country),,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
us_rights,1,Very serious problem,,
,2,Somewhat serious problem,,
,3,Not too serious of a problem,,
,4,Not a problem at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
us_econcomp,1,Very serious problem,,
,2,Somewhat serious problem,,
,3,Not too serious of a problem,,
,4,Not a problem at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
us_milpower,1,Very serious problem,,
,2,Somewhat serious problem,,
,3,Not too serious of a problem,,
,4,Not a problem at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
us_politics,1,Very serious problem,,
,2,Somewhat serious problem,,
,3,Not too serious of a problem,,
,4,Not a problem at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
us_debt,1,Very serious problem,,
,2,Somewhat serious problem,,
,3,Not too serious of a problem,,
,4,Not a problem at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
us_invest,1,Investment from the U.S. is a good thing because it creates jobs in (survey country),,
,2,Investment from the U.S. is a bad thing because it gives the U.S. too much influence over domestic affairs in (survey co,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
climate_local,1,A great deal,,
,2,Some,,
,3,Not too much,,
,4,Not at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
climate_effects,1,Droughts or water shortages,,
,2,Floods or intense storms,,
,3,Long periods of unusually hot weather,,
,4,Rising sea levels,,
,7,None of these (DO NOT READ),,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
climate_concern,1,Very concerned,,
,2,Somewhat concerned,,
,3,Not too concerned,,
,4,Not at all concerned,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
climate_behavior,1,A lot of changes,,
,2,Some changes,,
,3,Only a few changes,,
,4,No changes at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
wealth_emissions,1,How wealthy a country is,,
,2,How much a country’s carbon emissions contribute to climate change,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
climate_intlcommunity,1,Very confident,,
,2,Somewhat confident,,
,3,Not too confident,,
,4,Not at all confident,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
growinflu_country,1,Getting stronger,,
,2,Getting weaker,,
,3,Staying about the same,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
brderjob,1,Very good job,,
,2,Somewhat good job,,
,3,Somewhat bad job,,
,4,Very bad job,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
brderjob_mex,1,Very good job,,
,2,Somewhat good job,,
,3,Somewhat bad job,,
,4,Very bad job,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
mex_court_approve,1,Strongly approve,,
,2,Somewhat approve,,
,3,Somewhat disapprove,,
,4,Strongly disapprove,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
discrim2_hindu,1,"Yes, a lot of discrimination",,
,2,"No, not a lot of discrimination",,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
discrim2_muslim,1,"Yes, a lot of discrimination",,
,2,"No, not a lot of discrimination",,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
discrim2_christian,1,"Yes, a lot of discrimination",,
,2,"No, not a lot of discrimination",,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
discrim2_sikh,1,"Yes, a lot of discrimination",,
,2,"No, not a lot of discrimination",,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
discrim2_buddhist,1,"Yes, a lot of discrimination",,
,2,"No, not a lot of discrimination",,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
discrim2_jain,1,"Yes, a lot of discrimination",,
,2,"No, not a lot of discrimination",,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
discrim2_sc,1,"Yes, a lot of discrimination",,
,2,"No, not a lot of discrimination",,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
discrim2_st,1,"Yes, a lot of discrimination",,
,2,"No, not a lot of discrimination",,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
discrim2_obc,1,"Yes, a lot of discrimination",,
,2,"No, not a lot of discrimination",,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
discrim2_women,1,"Yes, a lot of discrimination",,
,2,"No, not a lot of discrimination",,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
discrim2_men,1,"Yes, a lot of discrimination",,
,2,"No, not a lot of discrimination",,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
discrim4_hindu,1,A lot of discrimination,,
,2,Some discrimination,,
,3,Not too much discrimination,,
,4,No discrimination at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
discrim4_muslim,1,A lot of discrimination,,
,2,Some discrimination,,
,3,Not too much discrimination,,
,4,No discrimination at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
discrim4_christian,1,A lot of discrimination,,
,2,Some discrimination,,
,3,Not too much discrimination,,
,4,No discrimination at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
discrim4_sikh,1,A lot of discrimination,,
,2,Some discrimination,,
,3,Not too much discrimination,,
,4,No discrimination at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
discrim4_buddhist,1,A lot of discrimination,,
,2,Some discrimination,,
,3,Not too much discrimination,,
,4,No discrimination at all,,
,8,Don't know (DO NOT READ),,
,9,Refused (DO NOT READ),,
discrim4_jain,1,A lot of discrimination,,
,2,Some discrimination,,
,3,Not too much discrimination,,
,4,No discrimination at all,,
